Tanggal,RF_Pred,LGBM_Pred,Blended_Pred
2025-01-01,298839.5625,306194.6773997582,302517.1199498791
2025-02-01,387601.8430500001,377229.19706198113,382415.5200559906
2025-03-01,1420484.7747499999,1574805.6550235453,1497645.2148867724
2025-04-01,1890306.5123999994,1592228.5097767354,1741267.5110883676
2025-05-01,841561.1515500001,770636.429454883,806098.7905024416
2025-06-01,634299.90405,598000.1464328383,616150.0252414191
2025-07-01,861422.3023999999,897767.1800288793,879594.7412144395
2025-08-01,825359.6582999999,811294.5211636457,818327.0897318228
2025-09-01,658310.1055499999,419238.75476500037,538774.4301575001
2025-10-01,470656.94005,324656.1724195804,397656.5562347902
2025-11-01,462421.47515,402620.7002465072,432521.08769825357
2025-12-01,400406.54299999995,431804.9750516013,416105.7590258007
